iter,T,current_cost,best_cost,feasible_best
1,300.0,2247327.1799999997,2247327.1799999997,1
2,297.0,2121471.2600000002,2121471.2600000002,1
3,294.03,1980583.6800000002,1980583.6800000002,1
4,291.0897,1960495.26,1960495.26,1
5,288.178803,1945052.7199999997,1945052.7199999997,1
6,285.29701497,1945052.7199999997,1945052.7199999997,1
7,282.4440448203,1922115.9,1922115.9,1
8,279.619604372097,1868782.1400000001,1868782.1400000001,1
9,276.82340832837605,1797721.54,1797721.54,1
10,274.0551742450923,1634164.42,1634164.42,1
11,271.3146225026414,1607023.32,1607023.32,1
12,268.60147627761495,1607023.32,1607023.32,1
13,265.9154615148388,1607023.32,1607023.32,1
14,263.2563068996904,1607023.32,1607023.32,1
15,260.6237438306935,1607023.32,1607023.32,1
16,258.01750639238657,1589961.1800000002,1589961.1800000002,1
17,255.4373313284627,1583491.5000000002,1583491.5000000002,1
18,252.88295801517808,1583625.62,1583491.5000000002,1
19,250.3541284350263,1583625.62,1583491.5000000002,1
20,247.85058715067603,1583625.62,1583491.5000000002,1
21,245.37208127916927,1576394.8200000003,1576394.8200000003,1
22,242.91836046637758,1576394.8200000003,1576394.8200000003,1
23,240.4891768617138,1559886.9200000002,1559886.9200000002,1
24,238.08428509309664,1559886.9200000002,1559886.9200000002,1
25,235.70344224216566,1551899.9200000004,1551899.9200000004,1
26,233.346407819744,1547579.7000000002,1547579.7000000002,1
27,231.01294374154656,1547078.0200000003,1547078.0200000003,1
28,228.7028143041311,1499590.1000000003,1499590.1000000003,1
29,226.41578616108978,1492804.4800000004,1492804.4800000004,1
30,224.1516282994789,1492804.4800000004,1492804.4800000004,1
31,221.9101120164841,1492714.8400000005,1492714.8400000005,1
32,219.69101089631926,1492714.8400000005,1492714.8400000005,1
33,217.49410078735607,1492714.8400000005,1492714.8400000005,1
34,215.3191597794825,1492714.8400000005,1492714.8400000005,1
35,213.16596818168767,1492714.8400000005,1492714.8400000005,1
36,211.0343084998708,1492714.8400000005,1492714.8400000005,1
37,208.9239654148721,1492714.8400000005,1492714.8400000005,1
38,206.8347257607234,1492714.8400000005,1492714.8400000005,1
39,204.76637850311616,1492714.8400000005,1492714.8400000005,1
40,202.71871471808498,1492714.8400000005,1492714.8400000005,1
41,200.69152757090413,1492714.8400000005,1492714.8400000005,1
42,198.68461229519508,1492714.8400000005,1492714.8400000005,1
43,196.69776617224312,1492128.5400000005,1492128.5400000005,1
44,194.73078851052068,1492128.5400000005,1492128.5400000005,1
45,192.78348062541548,1492128.5400000005,1492128.5400000005,1
46,190.8556458191613,1490617.3800000004,1490617.3800000004,1
47,188.9470893609697,1490617.3800000004,1490617.3800000004,1
48,187.05761846736,1478440.9000000004,1478440.9000000004,1
49,185.18704228268638,1478440.9000000004,1478440.9000000004,1
50,183.3351718598595,1478341.6600000001,1478341.6600000001,1
51,181.5018201412609,1475022.4600000002,1475022.4600000002,1
52,179.6868019398483,1475022.4600000002,1475022.4600000002,1
53,177.8899339204498,1464187.12,1464187.12,1
54,176.11103458124532,1464187.12,1464187.12,1
55,174.34992423543287,1448425.5,1448425.5,1
56,172.60642499307855,1448425.5,1448425.5,1
57,170.88036074314775,1448425.5,1448425.5,1
58,169.17155713571626,1440299.98,1440299.98,1
59,167.4798415643591,1423540.36,1423540.36,1
60,165.80504314871553,1423540.36,1423540.36,1
