universite_adi;Acıbadem Mehmet Ali Aydınlar Üniversitesi ;Altınbaş Üniversitesi;ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;BAHÇEŞEHİR ÜNİVERSİTESİ;BEYKOZ ÜNİVERSİTESİ;BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;BİRUNİ ÜNİVERSİTESİ;BOĞAZİÇİ ÜNİVERSİTESİ;DEMİROĞLU BİLİM ÜNİVERSİTESİ;DOĞUŞ ÜNİVERSİTESİ;FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;FENERBAHÇE ÜNİVERSİTESİ;GALATASARAY ÜNİVERSİTESİ;HALİÇ ÜNİVERSİTESİ;IŞIK ÜNİVERSİTESİ;İBN HALDUN ÜNİVERSİTESİ;İSTANBUL 29 MAYIS ÜNİVERSİTESİ;İSTANBUL AREL ÜNİVERSİTESİ;İSTANBUL ATLAS ÜNİVERSİTESİ;İSTANBUL AYDIN ÜNİVERSİTESİ;İSTANBUL BEYKENT ÜNİVERSİTESİ;İSTANBUL BİLGİ ÜNİVERSİTESİ;İSTANBUL ESENYURT ÜNİVERSİTESİ;İSTANBUL GALATA ÜNİVERSİTESİ;İSTANBUL GEDİK ÜNİVERSİTESİ;İSTANBUL GELİŞİM ÜNİVERSİTESİ;İSTANBUL KENT ÜNİVERSİTESİ;İSTANBUL KÜLTÜR ÜNİVERSİTESİ;İSTANBUL MEDENİYET ÜNİVERSİTESİ;İSTANBUL MEDİPOL ÜNİVERSİTESİ;İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;İSTANBUL OKAN ÜNİVERSİTESİ;İSTANBUL RUMELİ ÜNİVERSİTESİ;İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;İSTANBUL TEKNİK ÜNİVERSİTESİ;İSTANBUL TİCARET ÜNİVERSİTESİ;İSTANBUL TOPKAPI ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;İSTİNYE ÜNİVERSİTESİ;KADİR HAS ÜNİVERSİTESİ;KOÇ ÜNİVERSİTESİ;MALTEPE ÜNİVERSİTESİ;MARMARA ÜNİVERSİTESİ;MEF ÜNİVERSİTESİ;MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;ÖZYEĞİN ÜNİVERSİTESİ;PİRİ REİS ÜNİVERSİTESİ;SABANCI ÜNİVERSİTESİ;SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;TÜRK-ALMAN ÜNİVERSİTESİ;ÜSKÜDAR ÜNİVERSİTESİ;YEDİTEPE ÜNİVERSİTESİ;YILDIZ TEKNİK ÜNİVERSİTESİ;Taksim Meydan
Acıbadem Mehmet Ali Aydınlar Üniversitesi ;0;40.0538;7.8337;15.5843;20.1057;18.3594;19.844;19.1224;16.3419;9.7694;19.1879;3.2197;16.9876;23.8686;27.1153;41.9404;9.3706;71.0825;20.7945;32.7294;22.0082;24.074;44.3867;18.437;17.2383;42.788;19.7844;28.6747;5.6252;19.7141;22.4725;30.4685;108.215;35.572;22.0579;21.4671;22.2363;20.9104;22.4776;18.5961;17.0235;45.4551;21.0231;21.665;18.0668;35.177;10.1148;6.9348;20.1888;18.2338;22.1807;31.9963;29.7582;9.1939;29.308;11.5151;5.1234;16.2834;19.9538
Altınbaş Üniversitesi;42.5542;0;44.2572;27.2684;31.1755;22.1461;21.0614;25.6883;24.5931;42.3002;21.3382;43.786;27.5355;17.4204;29.7023;8.2212;37.4671;43.3476;19.1453;20.1176;24.5953;19.244;26.4458;26.6051;58.7857;28.1983;21.3133;18.7545;34.4885;29.9842;25.0595;66.892;80.48;12.8855;30.2891;22.7683;24.8233;23.4974;22.3477;27.4782;23.9711;25.5888;20.6187;19.2979;27.6157;37.764;51.8263;36.357;22.7758;22.1665;54.8867;77.7133;66.1816;34.7149;38.7949;30.8935;46.1476;25.6828;26.5497
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;5.9413;40.6612;0;16.1917;18.906;21.7168;28.0809;19.7298;16.9493;12.3028;22.5454;6.0662;17.595;24.476;27.7227;42.5478;8.1709;71.6899;21.4018;36.0868;22.6156;24.6814;54.7882;24.1547;24.2495;48.6741;20.3918;32.0321;8.2358;18.5144;23.0799;32.3559;108.8224;42.5381;23.2543;22.0744;22.8437;21.5178;23.085;21.9535;17.6309;53.9312;26.9215;27.5995;21.4243;35.7844;17.2902;9.938;20.7962;18.8412;23.8012;43.1772;31.6455;13.4333;28.1083;12.1225;9.5347;16.8908;20.6838
BAHÇEŞEHİR ÜNİVERSİTESİ;16.7416;27.7989;19.1246;0;14.7183;13.8609;15.5525;6.8676;4.0871;20.0612;11.369;15.5383;2.6957;11.9476;14.8605;29.6855;12.4939;58.8277;8.9257;27.0209;9.7534;12.153;41.926;5.6322;33.6531;36.1457;8.2824;21.957;10.0678;13.527;10.2177;41.7594;95.9602;29.6759;7.4414;9.546;9.9815;8.6556;10.5566;12.5923;5.23;41.069;14.3931;15.0711;7.0411;22.9222;26.6937;11.9363;7.9339;5.979;32.6137;52.5807;41.049;10.2942;22.3376;6.4729;20.7129;1.9915;4.8709
BEYKOZ ÜNİVERSİTESİ;16.0946;29.9598;17.7976;13.3207;0;23.2861;24.9777;8.0529;10.6454;15.8406;25.2545;17.3264;13.5879;16.2885;19.1315;31.8464;11.0075;60.9886;13.8658;37.8309;14.0245;18.2546;44.0868;19.6539;32.326;45.8393;13.2225;36.4678;16.7818;0.5309;14.4888;40.4323;98.121;31.8368;20.3833;17.9896;14.2525;9.6468;17.569;27.1267;10.1701;43.2298;23.8183;24.4963;20.6645;27.1932;25.3667;20.0913;12.205;10.25;28.427;51.2537;39.722;14.8443;10.1724;11.2093;19.688;11.7351;17.8128
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;20.08;15.1826;29.0844;9.0237;23.3137;0;2.6898;15.463;12.6825;30.021;2.5589;21.3171;13.2465;18.2027;23.4559;22.6582;22.4537;46.2114;12.993;19.0148;15.9777;10.6562;29.3097;4.6061;33.8776;25.9354;11.0683;11.7467;16.8227;22.1224;18.8131;51.7192;83.3439;17.0596;6.7401;5.4743;18.5769;17.251;7.5272;5.1497;11.7948;28.4526;3.0608;3.7388;3.0157;31.5176;28.4237;15.7355;16.5293;14.5744;42.5735;48.8657;51.0088;14.6262;30.9331;16.4327;23.4324;11.3883;6.1229
BİRUNİ ÜNİVERSİTESİ;20.4837;16.0781;29.9798;13.8748;24.2091;2.1195;0;16.3584;13.578;30.9165;1.4211;21.7207;14.142;19.0982;24.3513;23.5536;23.3492;47.1069;13.8885;15.889;16.8732;11.5516;26.6124;6.5597;34.2812;25.0137;11.9638;10.825;20.923;23.0178;19.7086;52.6146;84.2393;17.9551;8.6937;6.3697;19.4723;18.1464;8.4227;3.6425;12.6903;27.6808;3.2563;3.8982;4.9693;32.4131;37.549;16.1392;17.4248;15.4699;43.4689;49.2693;51.9043;15.0298;31.8285;17.3281;23.836;12.2838;8.0766
BOĞAZİÇİ ÜNİVERSİTESİ;21.6381;26.4645;23.341;7.0538;10.2594;15.6216;17.3132;0;4.3785;21.3841;17.59;22.8699;7.321;12.7932;12.4286;28.3511;16.551;57.4933;9.0326;34.3357;10.2899;14.7593;40.5916;13.387;37.8695;42.344;8.3893;23.7177;14.2739;9.0681;10.7542;45.9758;94.6257;28.3415;14.1164;11.3068;7.5496;5.8206;14.0737;19.4622;5.3369;39.7345;16.1538;16.8318;14.3977;20.4903;30.9102;16.1425;8.4704;6.4761;33.9705;56.7972;45.2655;14.5004;17.8787;10.679;25.2315;5.4683;11.546
DEMİROĞLU BİLİM ÜNİVERSİTESİ;17.3313;25.6607;19.7143;3.4374;12.58;12.0052;13.6967;4.7293;0;20.6509;13.9736;16.128;3.7045;8.6621;12.7222;27.5473;13.0836;56.6894;5.7618;25.1652;7.6151;8.8675;39.7877;9.7706;34.2428;34.2899;4.7518;20.1013;10.6575;11.3887;8.0794;42.3491;93.8219;27.5376;10.5;7.6903;7.8432;6.5173;7.6325;15.8457;1.8356;38.9307;12.5373;13.2154;10.7812;20.7839;27.2834;12.526;5.7957;3.8407;36.2912;53.1704;41.6387;10.8839;20.1994;7.0625;21.3026;1.8518;7.9295
DOĞUŞ ÜNİVERSİTESİ;8.3412;48.2703;4.771;21.2418;21.9866;31.4395;33.131;26.3634;21.9995;0;27.3163;7.7591;22.6452;34.599;37.442;50.1568;9.9533;79.299;26.452;40.8578;32.3349;36.5651;62.3973;29.2049;20.6437;64.1497;25.442;39.5355;13.0067;20.7953;32.7992;28.75;116.4315;50.1472;28.3044;27.1246;32.563;27.9572;28.1352;26.7245;22.6811;61.5403;31.9716;32.6497;26.1953;45.5037;11.0443;14.709;30.5154;28.5605;12.8132;39.5713;28.0396;18.3895;29.6059;17.0787;7.4511;21.9409;25.7339
